PC1,PC2,PC3,breakpoints,cell_cycle_state,cell_id,correlation,correlation0,correlation1,correlation2,correlation3,coverage_breadth,coverage_depth,library_id,mean_insert_size,median_insert_size,num_unique_bk,paired_duplicate_reads,paired_mapped_reads,percent_duplicate_reads,ploidy,pvalue,r_G1b,r_S4,r_ratio,slope,slope0,slope1,slope2,slope3,standard_deviation_insert_size,total_duplicate_reads,total_mapped_reads,total_properly_paired,total_reads,training_context,unmapped_reads,unpaired_duplicate_reads,unpaired_mapped_reads
-0.03807043014269759,-0.01297225027563139,0.007985136420513964,49.0,G1,SA1044-A96147A-R28-C14,0.7913600766045921,-0.11851910924958732,-0.21563999397094247,-0.19343638288541434,-0.263302243946366,0.0808921025351,0.08631599999999999,A96147A,251.997915,216.0,1.0,343599,1616134,0.227373331877,2.7225265871737028,0.0,-0.14358619486638086,-0.11046210340280893,-0.1827291878177522,-30.914161581956666,0.03019574584525984,0.026335631170789527,1.2998650778493905,1.224832092003827,146.291604,698737,3267969,2328806,3550440,holdout,282471,11539,35701
-0.03466766651620242,0.011979959253575232,0.012161480814108973,66.0,G1,SA1044-A96147A-R28-C21,0.8151361930319629,-0.10396670537026033,-0.11145415763628645,-0.08741083400647094,-0.19934691497320156,0.0760017882848,0.080876,A96147A,254.199394,219.0,0.0,310957,1494630,0.223317659191,2.691911053818885,0.0,-0.10437344607563898,-0.0880743950203489,-0.12054520210188409,-37.857164477869034,0.027757575244464008,0.024362106701120344,1.264694173735969,1.132497353212145,146.105959,632620,3023451,2183792,3377544,holdout,354093,10706,34191
-0.04829380101696494,0.001034019411069285,0.006213195246189237,55.0,G2,SA1044-A96147A-R28-C47,0.74792868341469,-0.09267526821639817,-0.15496976930577386,-0.13636891559749179,-0.24667887358507318,0.07128332112319999,0.075823,A96147A,258.039679,221.0,0.0,303254,1410081,0.230746026546,2.702384788913954,0.0,-0.16553239310147314,-0.11340083383455887,-0.18322002201159743,-32.35547695682122,0.02476068545743743,0.026204714150554184,1.393833310627998,1.2183498368190364,150.71774,617218,2854255,2059246,3151956,holdout,297701,10710,34093
-0.05546143969288708,-0.014835106371744703,0.00301893309718429,47.0,G1,SA1044-A96147A-R29-C07,0.7447158564681817,-0.13173904177353749,-0.2638724889695479,-0.24331693830371093,-0.24413426271513652,0.0809435046433,0.086168,A96147A,241.954932,209.0,0.0,358384,1651612,0.231718644449,2.731066709635836,0.0,-0.20851922096082004,-0.13373778024685024,-0.21522715554633234,-22.468537223477593,0.032938241239185734,0.028931464630916955,1.3168170620738109,1.3453517715624344,137.992399,728861,3339632,2334653,3666000,holdout,326368,12093,36408
-0.012898855356625438,-0.0027214905765487077,0.01307344361947293,46.0,G1,SA1044-A96147A-R29-C08,0.8278053759756555,-0.06265443560984905,-0.06140520504958684,-0.038263599673535716,-0.022177590681739873,0.0796771884215,0.085079,A96147A,241.480084,207.0,0.0,335726,1616440,0.22210633302,2.7304221720915245,0.0,-0.07696352861587881,-0.05893019874630542,-0.09762215705811025,-42.3247765771632,0.025720345085372125,0.0224931225832295,1.0045059255425024,1.045452074955387,138.717201,682183,3266530,2268703,3634486,holdout,367956,10731,33650
-0.02761907550869973,-0.00988756100066075,0.015043607940822348,49.0,G1,SA1044-A96147A-R29-C09,0.8216520223282215,-0.09425240959020252,-0.1371686400995899,-0.11311036075316151,-0.10536548422891473,0.0773868195145,0.082351,A96147A,242.00547200000003,208.0,0.0,337047,1574452,0.229967451271,2.723332259104093,0.0,-0.12554112163005554,-0.10025725818826833,-0.1619587644510756,-37.3402518869614,0.027116343386087982,0.024208988363917248,1.0916082536388498,1.1253291983540372,138.689473,685132,3182921,2221004,3523484,holdout,340563,11038,34016
-0.0210736771847293,-0.0029145953759090065,0.008919136874114091,49.0,G1,SA1044-A96147A-R29-C21,0.8179695035637434,-0.09700952017220202,-0.08068380645065784,-0.05654235217095212,-0.07682615654177362,0.0777917877441,0.082762,A96147A,246.138248,211.0,0.0,323624,1555950,0.223070643207,2.717531421205285,0.0,-0.1097144835303551,-0.08823150840571062,-0.12142620776557402,-39.56922602011767,0.02766942803693396,0.023404995053334394,1.0886644008129784,1.0878974742680234,141.633657,657861,3145582,2219556,3479504,holdout,333922,10613,33682
-0.015176943496729605,0.018894076484048363,0.0022318487582012494,48.0,G2,SA1044-A96147A-R29-C39,0.7898669961167961,-0.020458725682446662,0.034283507051926475,0.053489935749424275,-0.1797849528155832,0.0690158551547,0.073661,A96147A,272.82228100000003,231.0,1.0,273879,1327395,0.222900294042,2.6936835320657426,0.0,-0.029168029391925924,-0.007785374130794062,-0.035367722466543294,-50.34231708975152,0.019372424314604786,0.020354387363196568,1.3469950456845055,0.9456776481373255,164.100349,556936,2687032,1978421,2934982,holdout,247950,9178,32241
0.014821776580861397,-0.012060492196088414,-0.02213813038827378,60.0,G2,SA1044-A96147A-R29-C46,0.7783697678816109,-0.046152127171108254,-0.005467205253768822,0.012475924711478036,-0.20186170819396307,0.07193044467889999,0.076814,A96147A,271.084276,230.0,2.0,268890,1371384,0.211736098499,2.766999677731228,0.0,-0.09375561442628483,0.054831167344988135,-0.0544999965887855,-41.218632254444586,0.02280199212583571,0.021635044245845583,1.3719462845995039,1.0061325896100517,162.985348,546808,2775096,2037428,3001032,holdout,225936,9028,32328
-0.036229812585637816,-0.01354946121658261,0.007732686718802207,48.0,G2,SA1044-A96147A-R29-C49,0.7968704824407581,-0.11433965878264012,-0.2120305502993656,-0.19072967292818477,-0.25972993418737306,0.0679924904793,0.071864,A96147A,252.713877,216.0,0.0,262776,1322844,0.213223584654,2.7254270061231067,0.0,-0.15327121691602508,-0.1023245040271598,-0.17117837724729018,-30.143695088795802,0.025180743521667506,0.026459689575626468,1.3050651805848332,1.2302526508107257,147.638102,534476,2675690,1906558,2962512,holdout,286822,8924,30001
-0.017046995166955847,-0.017186329782771015,-0.009466550592309532,55.0,G2,SA1044-A96147A-R29-C50,0.7393737430526527,-0.07624255574321684,-0.09408610636322297,-0.07649328422497494,-0.40044814073701424,0.06420630542330001,0.068107,A96147A,291.2471220000001,247.0,1.0,237125,1184168,0.216635051268,2.7690944247502416,0.0,-0.11157183988816556,0.00911935426205332,-0.10604916273800137,-36.29686775105236,0.021447957303468795,0.024094310021993647,1.8652664185992882,1.1201053694617618,175.757422,482337,2398093,1830418,2602266,holdout,204173,8087,29757
