breakpoints,cell_cycle_state,cell_id,correlation,correlation0,correlation1,correlation2,correlation3,coverage_breadth,coverage_depth,library_id,mean_insert_size,median_insert_size,norm_bk,num_unique_bk,paired_duplicate_reads,paired_mapped_reads,percent_duplicate_reads,ploidy,pvalue,r_G1b,r_S4,r_ratio,slope,slope0,slope1,slope2,slope3,slope_G1b,slope_S4,slope_ratio,standard_deviation_insert_size,total_duplicate_reads,total_mapped_reads,total_properly_paired,total_reads,training_context,unmapped_reads,unpaired_duplicate_reads,unpaired_mapped_reads
1.0,G1,SA928-A73044A-R07-C17,0.18217118182678002,-0.2151474861002057,-0.17494399694018778,-0.19044883872167656,-0.12214113182914481,0.0914922350533,0.096613,A73044A,221.605936,194.0,0.006576468573385854,0.0,396653,2106556,0.190111246947,1.9191105381888496,4.2045534425975717e-42,-0.10511069992859129,-0.07531702979242849,-0.1160480673674419,69.90979383876899,0.008762658647767183,0.00871294289007044,1.240675269843782,1.4300626514033261,23.383712223538325,87.95365323803257,1.1651301373910234,120.011193,810293,4262499,3240115,4662474,training,399975,16987,49387
1.0,G1,SA928-A73044A-R07-C18,0.078680218087623,-0.4313835225995662,-0.39741009612728173,-0.4159186712086705,-0.3901498645324831,0.0835160549137,0.087983,A73044A,234.611498,205.0,0.006576468573385854,0.0,310755,1835158,0.171169995612,1.9191105381888496,5.47091164517333e-09,-0.2830763389120715,-0.21556050352927,-0.3137574709072869,94.69652135150982,0.009584611568458211,0.010785981514476165,1.7926347102196714,1.76438480038647,45.34248728974091,111.42617381419265,5.136363555094861,127.891801,636166,3716844,2921715,4082634,training,365790,14656,46527
5.0,G1,SA928-A73044A-R07-C19,0.15954860964759543,-0.20671342714383367,-0.17195703087707895,-0.1868204907428578,-0.1120269285711991,0.0950099409948,0.100723,A73044A,218.959554,192.0,0.03288234286692927,0.0,390790,2189304,0.180489855347,1.9060586529165324,1.4262799832535395e-32,-0.10439019067515246,-0.0974596743802889,-0.11715325925256236,72.5469611059898,0.00938325511819412,0.008963062621423634,1.2207234799581346,1.4706871177425938,23.06409522337828,89.98620120674795,1.130991498564574,118.032382,800749,4436820,3353249,4885242,training,448422,19169,58212
61.0,G2,SA928-A73044A-R07-C21,0.09591510067505384,-0.1023000802577846,-0.17226825857701622,-0.18493572498435515,-0.19126661995086006,0.0914832849932,0.097628,A73044A,250.9042,219.0,0.4011645829765371,0.0,325902,1970602,0.167012219806,1.8606187560425396,1.1183327093313305e-12,-0.180119263331629,-0.06260872765618374,-0.15938148298598953,88.74208098497084,0.008166104124533492,0.010277063486558748,1.7542058732959456,1.6820553791166915,27.918248706711594,85.96700767928833,1.5263046201571466,138.577877,665375,3984434,3221349,4369840,training,385406,13571,43229
101.0,G2,SA928-A73044A-R07-C22,0.23327431802469548,0.034529688908102596,-0.025817857811817974,-0.038463060465059325,-0.055873821533204936,0.0723964328407,0.07638400000000001,A73044A,257.901867,225.0,0.6642233259119713,0.0,259515,1529673,0.17092105790999998,1.8467611988398325,1.2730614681536015e-68,-0.08925189080529035,0.0753370993732786,-0.026647641285809112,61.19839446155961,0.004628036198192214,0.008024195517690909,1.3876804756973262,1.3190490134014896,21.336137692413143,72.76688618932604,-0.009609471896605819,144.331249,528256,3090925,2514415,3369344,training,278419,9226,31578
6.0,G2,SA928-A73044A-R07-C24,0.03594723999440883,-0.2971748469660727,-0.2782046618227378,-0.29201423655656394,-0.3070516874898936,0.0925285846464,0.098583,A73044A,255.026044,223.0,0.03945881144031513,0.0,347934,1991942,0.176120895937,1.9155655816951338,0.007783491039115999,-0.2108997765531168,-0.1543374807106139,-0.2250700207288298,97.30437222075449,0.010531018510649538,0.011000668916639336,1.88186858032034,1.7988915729174435,31.386852826657993,96.16950668129383,2.5074648300063616,141.053909,708814,4024883,3276200,4367310,training,342427,12946,40999
160.0,G2,SA928-A73044A-R07-C25,0.043898841884746326,-0.31344747321053595,-0.3361477536643004,-0.35170094543076713,-0.35126166875969317,0.105715833972,0.113609,A73044A,246.843471,215.0,1.0522349717417367,1.0,393909,2320371,0.17162676476100006,3.7616822429906542,0.0011519168214216755,-0.22273502375908122,-0.158809810486199,-0.24981890355464118,48.68321135388475,0.01223834435438828,0.0055434248611233045,0.9464824553455866,0.9067569242238724,35.04180912761547,99.3304766216853,3.318932297361884,136.287136,805601,4694262,3763042,5129024,training,434762,17783,53520
1.0,G2,SA928-A73044A-R07-C26,0.09617306582169506,-0.28115387136310893,-0.2564651929066399,-0.2723457359969711,-0.2803560071137062,0.105956494247,0.113938,A73044A,250.465846,219.0,0.006576468573385854,0.0,414843,2329716,0.17972808625999998,1.9194328069610054,9.680508188601545e-13,-0.21878852976275717,-0.1506873850696816,-0.21977299091765526,90.25421891569589,0.011526253065004032,0.010403626892022153,1.7765526009343593,1.7024932710779757,33.56302346877967,97.27005025145475,2.6981989298299798,138.328352,846441,4709877,3800880,5166760,training,456883,16755,50444
130.0,G2,SA928-A73044A-R07-C27,-0.04672022508904999,-0.4030929673613703,-0.4064063378198401,-0.42070119483396584,-0.43249371646890117,0.0880523733419,0.093644,A73044A,253.784278,221.0,0.8549409145401611,1.0,318588,1882149,0.170766003792,3.850306155333548,0.0005408592545811451,-0.2737977604665897,-0.1890340943340806,-0.296238966865281,53.39089951928166,0.011042204750662525,0.005860632281526826,0.999713003306806,0.9573065077131108,38.164599258955434,101.67602532682228,3.741238184891681,140.619149,649534,3803989,3090803,4159086,training,355097,12358,39691
137.0,G2,SA928-A73044A-R07-C29,0.2030589525902687,0.05893207227936666,-0.09790360626266158,-0.11231280942034395,-0.09613610398291528,0.111189875751,0.11998,A73044A,237.13604,207.0,0.900976194553862,1.0,432597,2504134,0.174722798834,1.8159845310989364,6.876727459899145e-52,-0.11398817383069274,-0.0009082283275947884,-0.07724843620777644,71.66424513335463,0.007162329197442192,0.008983877655088044,1.506614777667184,1.4747104863622003,24.089683603002378,80.11760789124841,0.67802463954032,131.361984,885095,5065997,3971077,5550184,training,484187,19901,57728
1.0,G2,SA928-A73044A-R07-C30,0.09370381231018372,-0.3250295044003003,-0.2943921168776293,-0.311398973752779,-0.30140443635933034,0.112870877511,0.121665,A73044A,240.759785,210.0,0.006576468573385854,0.0,436376,2518709,0.17519349971999998,1.9191105381888496,3.644380827591184e-12,-0.23056278300632893,-0.1784413431035761,-0.24985543632839272,90.12820446912725,0.012623621321573344,0.010396047643566232,1.7646591061927257,1.7013690421507153,36.621513480555926,102.67118442493644,3.475204012662857,132.096362,892833,5096519,4050555,5581648,training,485129,20081,59101
152.0,G2,SA928-A73044A-R07-C32,-0.027130650921429973,-0.26920676431039414,-0.33033456249345033,-0.3429387412015087,-0.3632739018594747,0.07127363767469999,0.07520299999999999,A73044A,259.27306,226.0,0.9996232231546498,4.0,260534,1517233,0.17344197267499994,5.810344827586207,0.045495276373686236,-0.22681566784721097,-0.16431324289516275,-0.2491511808903842,35.354885224144304,0.00847831622737754,0.0039078430754490474,0.6720303274473135,0.6384895608093627,31.1263757263444,95.73708013086349,2.542496937553594,143.99405,532628,3071079,2514745,3365330,training,294251,11560,36613
168.0,G2,SA928-A73044A-R07-C33,-0.030808440320507384,-0.25630548244112694,-0.2715663863047712,-0.28184200971711926,-0.3226263881442307,0.0406801285012,0.042266000000000005,A73044A,267.83506800000004,234.0,1.1048467203288235,2.0,136665,832018,0.16554035770300002,5.305994199162101,0.022715941568800833,-0.1745093026515619,-0.11890241854792384,-0.17618057343597557,38.57092431723291,0.004961994631794601,0.004262699119752237,0.7753504776436305,0.6965065851522525,24.667519784475218,88.7415986435537,1.2478214270280885,149.801804,278330,1681452,1391848,1845344,training,163892,5000,17415
