breakpoints,cell_cycle_state,cell_id,correlation,correlation0,correlation1,correlation2,correlation3,coverage_breadth,coverage_depth,library_id,mean_insert_size,median_insert_size,paired_duplicate_reads,paired_mapped_reads,percent_duplicate_reads,ploidy,pvalue,slope,slope0,slope1,slope2,slope3,standard_deviation_insert_size,total_duplicate_reads,total_mapped_reads,total_properly_paired,total_reads,training_context,unmapped_reads,unpaired_duplicate_reads,unpaired_mapped_reads
1.0,G1,SA928-A73044A-R07-C17,0.18217118182678002,-0.2151474861002057,-0.17494399694018778,-0.19044883872167656,-0.12214113182914481,0.0914922350533,0.096613,A73044A,221.605936,194.0,396653,2106556,0.190111246947,1.9191105381888496,4.2045534425975717e-42,58.76355392433018,-0.0042215320548534205,-0.003111311318147675,-0.293647920337258,-0.5681777727787766,120.011193,810293,4262499,3240115,4662474,training,399975,16987,49387
1.0,G1,SA928-A73044A-R07-C18,0.078680218087623,-0.4313835225995662,-0.39741009612728173,-0.4159186712086705,-0.3901498645324831,0.0835160549137,0.087983,A73044A,234.611498,205.0,310755,1835158,0.171169995612,1.9191105381888496,5.47091164517333e-09,-1.9065774532352466,-0.00803994279850302,-0.00815129139410799,-1.3287442505506049,-1.3807006476417658,127.891801,636166,3716844,2921715,4082634,training,365790,14656,46527
5.0,G1,SA928-A73044A-R07-C19,0.15954860964759543,-0.20671342714383367,-0.17195703087707895,-0.1868204907428578,-0.1120269285711991,0.0950099409948,0.100723,A73044A,218.959554,192.0,390790,2189304,0.180489855347,1.9060586529165324,1.4262799832535395e-32,52.827850726543254,-0.004863606393962,-0.003672982038160179,-0.33017258762773327,-0.6594050362889884,118.032382,800749,4436820,3353249,4885242,training,448422,19169,58212
61.0,G2,SA928-A73044A-R07-C21,0.09591510067505384,-0.1023000802577846,-0.17226825857701622,-0.18493572498435515,-0.19126661995086006,0.0914832849932,0.097628,A73044A,250.9042,219.0,325902,1970602,0.167012219806,1.8606187560425396,1.1183327093313305e-12,19.67310477726778,-0.0034066627522363036,-0.00638227766529393,-1.1429666925292723,-1.0951950236662082,138.577877,665375,3984434,3221349,4369840,training,385406,13571,43229
101.0,G2,SA928-A73044A-R07-C22,0.23327431802469548,0.034529688908102596,-0.025817857811817974,-0.038463060465059325,-0.055873821533204936,0.0723964328407,0.07638400000000001,A73044A,257.901867,225.0,259515,1529673,0.17092105790999998,1.8467611988398325,1.2730614681536015e-68,86.76289606148804,0.0015501886745530415,-0.0009305284071915499,-0.2806988226049905,-0.2170247672062769,144.331249,528256,3090925,2514415,3369344,training,278419,9226,31578
6.0,G2,SA928-A73044A-R07-C24,0.03594723999440883,-0.2971748469660727,-0.2782046618227378,-0.29201423655656394,-0.3070516874898936,0.0925285846464,0.098583,A73044A,255.026044,223.0,347934,1991942,0.176120895937,1.9155655816951338,0.007783491039115999,-7.792115915606086,-0.009051860448193231,-0.00863585212711205,-1.554178035933235,-1.4585625323805023,141.053909,708814,4024883,3276200,4367310,training,342427,12946,40999
160.0,G2,SA928-A73044A-R07-C25,0.043898841884746326,-0.31344747321053595,-0.3361477536643004,-0.35170094543076713,-0.35126166875969317,0.105715833972,0.113609,A73044A,246.843471,215.0,393909,2320371,0.17162676476100006,3.7616822429906542,0.0011519168214216755,-2.49288875776879,-0.010442346790235176,-0.0043029059662300475,-0.7506356101010512,-0.7277522496138505,136.287136,805601,4694262,3763042,5129024,training,434762,17783,53520
1.0,G2,SA928-A73044A-R07-C26,0.09617306582169506,-0.28115387136310893,-0.2564651929066399,-0.2723457359969711,-0.2803560071137062,0.105956494247,0.113938,A73044A,250.465846,219.0,414843,2329716,0.17972808625999998,1.9194328069610054,9.680508188601545e-13,9.436028139997076,-0.008830757634610121,-0.00719063189790334,-1.2808734731117803,-1.2253162687268215,138.328352,846441,4709877,3800880,5166760,training,456883,16755,50444
130.0,G2,SA928-A73044A-R07-C27,-0.04672022508904999,-0.4030929673613703,-0.4064063378198401,-0.42070119483396584,-0.43249371646890117,0.0880523733419,0.093644,A73044A,253.784278,221.0,318588,1882149,0.170766003792,3.850306155333548,0.0005408592545811451,-17.273490589634253,-0.011088016579579751,-0.005333447542100431,-0.9391294508430468,-0.8923606372169525,140.619149,649534,3803989,3090803,4159086,training,355097,12358,39691
137.0,G2,SA928-A73044A-R07-C29,0.2030589525902687,0.05893207227936666,-0.09790360626266158,-0.11231280942034395,-0.09613610398291528,0.111189875751,0.11998,A73044A,237.13604,207.0,432597,2504134,0.174722798834,1.8159845310989364,6.876727459899145e-52,65.50616434621344,0.0033164892850783426,-0.0029099607083933406,-0.46831657189441483,-0.5383580245289097,131.361984,885095,5065997,3971077,5550184,training,484187,19901,57728
