breakpoints,cell_cycle_state,cell_id,correlation,correlation0,correlation1,correlation2,correlation3,coverage_breadth,coverage_depth,library_id,mean_insert_size,median_insert_size,norm_bk,num_unique_bk,paired_duplicate_reads,paired_mapped_reads,percent_duplicate_reads,ploidy,pvalue,r_G1b,r_S4,r_ratio,slope,slope0,slope1,slope2,slope3,slope_G1b,slope_S4,slope_ratio,standard_deviation_insert_size,total_duplicate_reads,total_mapped_reads,total_properly_paired,total_reads,training_context,unmapped_reads,unpaired_duplicate_reads,unpaired_mapped_reads
1.0,G1,SA928-A73044A-R07-C17,0.18217118182678002,-0.2167664464537722,-0.20777591659359448,-0.20165096870795418,-0.1445131214354357,0.0914922350533,0.096613,A73044A,221.605936,194.0,0.006576468573385854,0.0,396653,2106556,0.190111246947,1.9191105381888496,4.2045534425975717e-42,-0.12111367645433638,-0.09097086464589381,-0.13621550352513223,58.76355392433018,-0.004897854435370987,-0.0042261902282397824,-0.36560685841891166,-0.610188452073735,-1207.6872359556128,-1245.9214545351367,-221.30043675672007,120.011193,810293,4262499,3240115,4662474,training,399975,16987,49387
1.0,G1,SA928-A73044A-R07-C18,0.078680218087623,-0.4321044723196494,-0.4356246151543899,-0.4284493246059662,-0.3966764588255167,0.0835160549137,0.087983,A73044A,234.611498,205.0,0.006576468573385854,0.0,310755,1835158,0.171169995612,1.9191105381888496,5.47091164517333e-09,-0.3005138781084212,-0.23394852492075224,-0.33678994428912573,-1.9065774532352466,-0.009159387338582342,-0.00949110986496378,-1.2285428776652385,-1.396014511536828,-4039.968096078687,-4319.7714191372315,-737.678219273105,127.891801,636166,3716844,2921715,4082634,training,365790,14656,46527
5.0,G1,SA928-A73044A-R07-C19,0.15954860964759543,-0.20838559810479756,-0.20347436376256905,-0.19774990553706928,-0.13985568342080126,0.0950099409948,0.100723,A73044A,218.959554,192.0,0.03288234286692927,0.0,390790,2189304,0.180489855347,1.9060586529165324,1.4262799832535395e-32,-0.11995817380786192,-0.11253052160628212,-0.13671840777478259,52.827850726543254,-0.005626578096460155,-0.004822622811915277,-0.4348752189362928,-0.6991085458027183,-1153.991699110177,-1486.8605004080448,-214.28623449760667,118.032382,800749,4436820,3353249,4885242,training,448422,19169,58212
61.0,G2,SA928-A73044A-R07-C21,0.09591510067505384,-0.10407125586125261,-0.1990340924144418,-0.19399473249987212,-0.23486950597431827,0.0914832849932,0.097628,A73044A,250.9042,219.0,0.4011645829765371,0.0,325902,1970602,0.167012219806,1.8606187560425396,1.1183327093313305e-12,-0.19355191980201314,-0.07622288691741608,-0.17676911521177055,19.67310477726778,-0.003984894542638631,-0.00764499224850569,-1.3732016113275103,-1.119641254402412,-1697.2241810960838,-918.0242933726161,-252.54719991029737,138.577877,665375,3984434,3221349,4369840,training,385406,13571,43229
101.0,G2,SA928-A73044A-R07-C22,0.23327431802469548,0.03192474841066802,-0.05307512605303376,-0.04792833853456197,-0.14109421900170135,0.0723964328407,0.07638400000000001,A73044A,257.901867,225.0,0.6642233259119713,0.0,259515,1529673,0.17092105790999998,1.8467611988398325,1.2730614681536015e-68,-0.10340662184158675,0.061837114276802815,-0.044453913763693356,86.76289606148804,0.001611879579127142,-0.0019554692474388776,-0.8231342451753506,-0.27007057667043954,-889.9132187499131,730.9296422943675,-62.330950864011776,144.331249,528256,3090925,2514415,3369344,training,278419,9226,31578
6.0,G2,SA928-A73044A-R07-C24,0.03594723999440883,-0.29833791019066497,-0.3072608393163231,-0.30181600701718747,-0.3790912610685416,0.0925285846464,0.098583,A73044A,255.026044,223.0,0.03945881144031513,0.0,347934,1991942,0.176120895937,1.9155655816951338,0.007783491039115999,-0.22469103862837764,-0.16852040038993799,-0.24310113444724557,-7.792115915606086,-0.010309280077930597,-0.009996230402788806,-2.02584625616297,-1.4710928768601395,-2187.5942527894035,-2253.5155403819217,-385.6225744212043,141.053909,708814,4024883,3276200,4367310,training,342427,12946,40999
160.0,G2,SA928-A73044A-R07-C25,0.043898841884746326,-0.314849436038016,-0.36917837059111536,-0.3628850555376241,-0.38243522448279665,0.105715833972,0.113609,A73044A,246.843471,215.0,1.0522349717417367,1.0,393909,2320371,0.17162676476100006,3.7616822429906542,0.0011519168214216755,-0.2385219844328224,-0.17506777007450847,-0.2703047010416445,-2.49288875776879,-0.011895508075085732,-0.00499452101379633,-0.7801371853397442,-0.7347772696416106,-5306.564397973592,-5349.562651340358,-979.7901432963937,136.287136,805601,4694262,3763042,5129024,training,434762,17783,53520
1.0,G2,SA928-A73044A-R07-C26,0.09617306582169506,-0.28245860557979385,-0.2897683832230393,-0.28368603936684356,-0.3334783750956482,0.105956494247,0.113938,A73044A,250.465846,219.0,0.006576468573385854,0.0,414843,2329716,0.17972808625999998,1.9194328069610054,9.680508188601545e-13,-0.2342253347900849,-0.16657124590892605,-0.2400229800964565,9.436028139997076,-0.010084762987725768,-0.008482495503147447,-1.5069609137137552,-1.245034340861166,-2499.830314251507,-2441.7643521308414,-417.37259313826604,138.328352,846441,4709877,3800880,5166760,training,456883,16755,50444
130.0,G2,SA928-A73044A-R07-C27,-0.04672022508904999,-0.4034955383794091,-0.43593377771270003,-0.4304749584550061,-0.4897017428096532,0.0880523733419,0.093644,A73044A,253.784278,221.0,0.8549409145401611,1.0,318588,1882149,0.170766003792,3.850306155333548,0.0005408592545811451,-0.2874944335140899,-0.2038355953855126,-0.3145559808788878,-17.273490589634253,-0.01258591025694438,-0.006050320803069619,-1.1050648227279696,-0.8929401249954397,-6183.7478137815315,-6021.842727593966,-1102.3378480576534,140.619149,649534,3803989,3090803,4159086,training,355097,12358,39691
137.0,G2,SA928-A73044A-R07-C29,0.2030589525902687,0.055907359589730705,-0.12890839108636876,-0.12316745335582954,-0.10372240432496356,0.111189875751,0.11998,A73044A,237.13604,207.0,0.900976194553862,1.0,432597,2504134,0.174722798834,1.8159845310989364,6.876727459899145e-52,-0.12975126662293598,-0.016400224180177444,-0.09730609621460722,65.50616434621344,0.0035118573195993194,-0.00405623977672889,-0.4652029842590218,-0.5834013243021905,-1234.264607081421,-212.92903324267314,-150.61187308583843,131.361984,885095,5065997,3971077,5550184,training,484187,19901,57728
