PC1,PC2,PC3,breakpoints,cell_cycle_state,cell_id,correlation,correlation0,correlation1,correlation2,correlation3,coverage_breadth,coverage_depth,library_id,mean_insert_size,median_insert_size,num_unique_bk,paired_duplicate_reads,paired_mapped_reads,percent_duplicate_reads,ploidy,pvalue,r_G1b,r_S4,r_ratio,slope,slope0,slope1,slope2,slope3,standard_deviation_insert_size,total_duplicate_reads,total_mapped_reads,total_properly_paired,total_reads,training_context,unmapped_reads,unpaired_duplicate_reads,unpaired_mapped_reads,new_cell_cycle_state,checked,corrected
-0.03131482702355455,-0.0011955031951862512,-0.011525426552238859,1.0,G1,SA928-A73044A-R07-C03,-0.015410808826161306,-0.4044131415611767,-0.4121348855800417,-0.4062984156002268,-0.4268524746791613,0.075476628497,0.080794,A73044A,246.573835,215.0,0.0,281388,1651353,0.171965679692,1.9191105381888496,0.2540265238330382,-0.28570631393661144,-0.16569858854157565,-0.278235512327439,106.45593408485212,0.010584931644439893,0.012635750490483105,1.9375417210128127,1.8784005357719329,137.389818,574210,3339364,2668545,3643162,training,303798,11434,36658,G1,False,False
-0.02401267103551859,0.0019829021861954526,0.0017489949485095804,1.0,G1,SA928-A73044A-R07-C06,0.15689593727254786,-0.39310972264183297,-0.3805986789435554,-0.3727591414739527,-0.31581232960622685,0.08243389281119999,0.087177,A73044A,229.081193,200.0,0.0,268455,1796366,0.151238423457,1.9191105381888496,1.5330151320321088e-31,-0.2473199886690693,-0.19339597095158986,-0.2771271060470971,85.76736972033656,0.010151431800141148,0.010898420939182987,1.4779352788499696,1.6191107267819032,125.00276000000001,550072,3637529,2816427,4019994,training,382465,13162,44796,G1,False,False
-0.02654986152488388,0.002371326676003729,0.0013278089793527053,1.0,G1,SA928-A73044A-R07-C07,0.165240553956381,-0.4438955053091526,-0.4388893044953317,-0.4302081014148986,-0.34376433788480115,0.09527518601,0.101271,A73044A,220.66992799999997,193.0,0.0,291162,2096766,0.14087281090700002,1.9191105381888496,7.595105265940935e-35,-0.29038148846723383,-0.25104166865293104,-0.32760189932924944,88.51648869924726,0.012215204566378536,0.011128603478481226,1.467371236665346,1.6534756639934831,118.379094,598614,4249650,3243156,4696348,training,446698,16290,56117,G1,False,False
-0.028072911567387386,-0.0008122975180165224,0.0010553987099700538,1.0,G1,SA928-A73044A-R07-C09,0.0672454299469814,-0.3807162650929091,-0.3840306739882467,-0.37743728806832505,-0.32657985797080263,0.083948669893,0.088438,A73044A,227.618934,199.0,0.0,314812,1862730,0.170785480908,1.9191105381888496,6.277334923821875e-07,-0.269357395261256,-0.21444169195645812,-0.29857768082907354,94.616212613509,0.01093103202685862,0.0116344587435374,1.5764635473652937,1.7290320263655548,123.60457199999999,643826,3770098,2915393,4159862,training,389764,14202,44638,G1,False,False
-0.03771363499138911,-0.0025464557324988675,-0.0034572397415307864,1.0,G1,SA928-A73044A-R07-C10,-0.05108507944689219,-0.3600224687463806,-0.3756074663865602,-0.3705566285403037,-0.3825415463892625,0.0480831637549,0.050009,A73044A,245.80237400000001,214.0,0.0,161087,1012476,0.16054899473,1.9191105381888496,0.00015477275536260627,-0.2775879244601823,-0.19895027741778765,-0.28602062018899177,112.05623953938931,0.006790821102465509,0.01314617127562569,1.9909048800175733,1.9544033639898908,136.35466100000002,328971,2049200,1640200,2273600,training,224400,6797,24248,G1,False,False
-0.03134375483631663,0.0007381942587974739,-0.002939038114629207,1.0,G1,SA928-A73044A-R07-C11,0.01572400426900104,-0.2974674784000359,-0.3053303405558539,-0.30040915680635777,-0.2810014521530465,0.06623130679280001,0.06931799999999999,A73044A,236.58955699999999,206.0,0.0,245235,1438635,0.17215817098900002,1.9191105381888496,0.2445019855166513,-0.21109218625337486,-0.16016209808211213,-0.23201353604575256,97.87191647563986,0.008605121533204715,0.011912289353229816,1.6758573305461588,1.7705659266361389,129.78651399999998,501110,2910952,2291698,3205564,training,294612,10640,33681,G1,False,False
-0.025759057094607768,0.001294204494325413,0.0065126275272404536,1.0,G1,SA928-A73044A-R07-C12,0.09418498398760236,-0.2433551781299025,-0.24362002045967815,-0.2383637921583681,-0.2018919993885144,0.0794360551615,0.083639,A73044A,227.94702599999997,200.0,0.0,299856,1763688,0.171910737848,1.9191105381888496,2.8247742310866497e-12,-0.15324162307870126,-0.106086637874435,-0.1608181897012499,82.86321788034573,0.009470322942222891,0.01061688973872086,1.438386405038926,1.5771302803790797,123.39491299999999,613868,3571144,2771462,3926404,training,355260,14156,43768,G1,False,False
-0.02673879148186284,0.0025226749207995394,0.0011616357076617812,1.0,G1,SA928-A73044A-R07-C13,0.11309558006445565,-0.412629704401122,-0.4064266153309978,-0.39892819815463815,-0.3606250908293932,0.0879961010606,0.092798,A73044A,232.946795,204.0,0.0,340803,1946452,0.176828854846,1.9191105381888496,4.573613799115471e-17,-0.28014879476632804,-0.2163940534845676,-0.31254566402262696,90.13612645289301,0.011069920228759056,0.011274289138177948,1.5631362062338543,1.6751587325046828,126.908348,696256,3937752,3082981,4323782,training,386030,14650,44847,G1,False,False
-0.03138440991838567,-0.00033391466520726675,-0.001114198591229139,1.0,G1,SA928-A73044A-R07-C14,0.050649406416750704,-0.4007306899160627,-0.4083268953398941,-0.4017347418574004,-0.35491091882981923,0.09402330402899996,0.099449,A73044A,229.251583,200.0,0.0,389007,2125276,0.184897849184,1.9191105381888496,0.00017614694420689287,-0.2804501753920525,-0.23010459659354834,-0.3112010136324315,95.53885876770448,0.012361497442103771,0.011726338739566095,1.5961507800882688,1.7426530707892742,124.831428,795091,4300553,3331653,4731574,training,431021,17077,50001,G1,False,False
-0.022391514540979818,-0.0005029303582307561,0.0029818235426758628,1.0,G1,SA928-A73044A-R07-C16,0.1945728085718281,-0.3050124575305763,-0.2866984360752204,-0.2790055905835336,-0.24973694152413925,0.08933968625119999,0.09423,A73044A,236.203861,206.0,0.0,366868,1988150,0.186137206276,1.9191105381888496,6.806387354712576e-48,-0.22226607668161968,-0.13827500843923315,-0.2260630692552741,80.13882227220762,0.010332979602782687,0.01040136204617661,1.4562655881974471,1.544769028528525,129.48607900000002,748334,4020648,3160608,4390698,training,370050,14598,44347,G1,False,False
